"","UNIT_CODE","County","Year","Month","Monthly_Med"
"369","ACAD","23009",1993,10,31
"370","ACAD","23009",1993,11,30
"371","ACAD","23009",1993,12,30
"372","ACAD","23009",1994,1,31
"373","ACAD","23009",1994,2,33.5
"374","ACAD","23009",1994,3,37
"375","ACAD","23009",1994,4,43
"376","ACAD","23009",1994,5,44
"377","ACAD","23009",1994,6,35
"378","ACAD","23009",1994,7,41
"379","ACAD","23009",1994,8,44
"380","ACAD","23009",1994,9,24
"381","ACAD","23009",1994,10,30.5
"382","ACAD","23009",1994,11,31
"383","ACAD","23009",1994,12,28
"384","ACAD","23009",1995,1,30
"385","ACAD","23009",1995,2,37
"386","ACAD","23009",1995,3,39
"387","ACAD","23009",1995,4,38
"388","ACAD","23009",1995,5,39
"389","ACAD","23009",1995,6,37.5
"390","ACAD","23009",1995,7,48
"391","ACAD","23009",1995,8,38
"392","ACAD","23009",1995,9,32
"393","ACAD","23009",1995,10,37
"394","ACAD","23009",1995,11,26
"395","ACAD","23009",1995,12,25
"396","ACAD","23009",1996,1,35
"397","ACAD","23009",1996,2,37
"398","ACAD","23009",1996,3,44
"399","ACAD","23009",1996,4,44
"400","ACAD","23009",1996,5,44
"401","ACAD","23009",1996,6,42
"402","ACAD","23009",1996,7,51
"403","ACAD","23009",1996,8,50
"404","ACAD","23009",1996,9,30
"405","ACAD","23009",1996,10,25
"406","ACAD","23009",1996,11,21
"407","ACAD","23009",1996,12,29
"408","ACAD","23009",1997,1,19
"409","ACAD","23009",1997,2,20
"410","ACAD","23009",1997,3,21.5
"411","ACAD","23009",1997,4,41
"412","ACAD","23009",1997,5,48
"413","ACAD","23009",1997,6,47.5
"414","ACAD","23009",1997,7,42
"415","ACAD","23009",1997,8,40
"416","ACAD","23009",1997,9,30
"417","ACAD","23009",1997,10,15
"418","ACAD","23009",1997,11,29
"419","ACAD","23009",1997,12,20
"420","ACAD","23009",1998,1,20.5
"421","ACAD","23009",1998,2,37.5
"422","ACAD","23009",1998,3,44
"423","ACAD","23009",1998,4,45
"424","ACAD","23009",1998,5,58
"425","ACAD","23009",1998,6,47.5
"426","ACAD","23009",1998,7,67
"427","ACAD","23009",1998,8,50
"428","ACAD","23009",1998,9,39
"429","ACAD","23009",1998,10,33
"430","ACAD","23009",1998,11,33
"431","ACAD","23009",1998,12,36
"432","ACAD","23009",1999,1,39
"433","ACAD","23009",1999,2,42
"434","ACAD","23009",1999,3,45
"435","ACAD","23009",1999,4,48
"436","ACAD","23009",1999,5,44
"437","ACAD","23009",1999,6,50
"438","ACAD","23009",1999,7,55
"439","ACAD","23009",1999,8,44
"440","ACAD","23009",1999,9,36.5
"441","ACAD","23009",1999,10,35
"442","ACAD","23009",1999,11,32
"443","ACAD","23009",1999,12,30
"444","ACAD","23009",2000,1,31
"445","ACAD","23009",2000,2,38
"446","ACAD","23009",2000,3,38
"447","ACAD","23009",2000,4,44
"448","ACAD","23009",2000,5,42
"449","ACAD","23009",2000,6,44
"450","ACAD","23009",2000,7,39
"451","ACAD","23009",2000,8,42
"452","ACAD","23009",2000,9,34
"453","ACAD","23009",2000,10,29
"454","ACAD","23009",2000,11,22
"455","ACAD","23009",2000,12,30
"456","ACAD","23009",2001,1,30
"457","ACAD","23009",2001,2,34
"458","ACAD","23009",2001,3,39
"459","ACAD","23009",2001,4,44
"460","ACAD","23009",2001,5,44
"461","ACAD","23009",2001,6,44
"462","ACAD","23009",2001,7,44
"463","ACAD","23009",2001,8,46
"464","ACAD","23009",2001,9,36.5
"465","ACAD","23009",2001,10,34
"466","ACAD","23009",2001,11,31
"467","ACAD","23009",2001,12,29
"468","ACAD","23009",2002,1,30
"469","ACAD","23009",2002,2,36
"470","ACAD","23009",2002,3,40
"471","ACAD","23009",2002,4,44
"472","ACAD","23009",2002,5,47
"473","ACAD","23009",2002,6,43.5
"474","ACAD","23009",2002,7,44
"475","ACAD","23009",2002,8,39
"476","ACAD","23009",2002,9,36
"477","ACAD","23009",2002,10,32
"478","ACAD","23009",2002,11,32
"479","ACAD","23009",2002,12,34
"480","ACAD","23009",2003,1,37
"481","ACAD","23009",2003,2,39
"482","ACAD","23009",2003,3,43
"483","ACAD","23009",2003,4,46.5
"484","ACAD","23009",2003,5,43
"485","ACAD","23009",2003,6,46
"486","ACAD","23009",2003,7,54
"487","ACAD","23009",2003,8,39
"488","ACAD","23009",2003,9,33.5
"489","ACAD","23009",2003,10,34
"490","ACAD","23009",2003,11,30.5
"491","ACAD","23009",2003,12,34
"492","ACAD","23009",2004,1,31
"493","ACAD","23009",2004,2,37
"494","ACAD","23009",2004,3,44
"495","ACAD","23009",2004,4,44
"496","ACAD","23009",2004,5,44
"497","ACAD","23009",2004,6,42.5
"498","ACAD","23009",2004,7,43
"499","ACAD","23009",2004,8,36
"500","ACAD","23009",2004,9,31
"501","ACAD","23009",2004,10,31
"502","ACAD","23009",2004,11,29.5
"503","ACAD","23009",2004,12,30
"504","ACAD","23009",2005,1,34
"505","ACAD","23009",2005,2,36
"506","ACAD","23009",2005,3,43
"507","ACAD","23009",2005,4,48.5
"508","ACAD","23009",2005,5,40
"509","ACAD","23009",2005,6,49
"510","ACAD","23009",2005,7,40
"511","ACAD","23009",2005,8,41
"512","ACAD","23009",2005,9,34.5
"513","ACAD","23009",2005,10,27
"514","ACAD","23009",2005,11,31.5
"515","ACAD","23009",2005,12,31
"516","ACAD","23009",2006,1,32
"517","ACAD","23009",2006,2,37
"518","ACAD","23009",2006,3,42
"519","ACAD","23009",2006,4,45
"520","ACAD","23009",2006,5,46
"521","ACAD","23009",2006,6,44.5
"522","ACAD","23009",2006,7,51
"523","ACAD","23009",2006,8,33
"524","ACAD","23009",2006,9,34
"525","ACAD","23009",2006,10,31
"526","ACAD","23009",2006,11,30
"527","ACAD","23009",2006,12,31
"528","ACAD","23009",2007,1,32
"529","ACAD","23009",2007,2,32
"530","ACAD","23009",2007,3,41
"531","ACAD","23009",2007,4,46
"532","ACAD","23009",2007,5,41
"533","ACAD","23009",2007,6,39
"534","ACAD","23009",2007,7,50
"535","ACAD","23009",2007,8,39
"536","ACAD","23009",2007,9,32.5
"537","ACAD","23009",2007,10,29
"538","ACAD","23009",2007,11,31
"539","ACAD","23009",2007,12,32
"540","ACAD","23009",2008,1,33
"541","ACAD","23009",2008,2,36
"542","ACAD","23009",2008,3,42
"543","ACAD","23009",2008,4,47.5
"544","ACAD","23009",2008,5,47
"545","ACAD","23009",2008,6,46.5
"546","ACAD","23009",2008,7,49
"547","ACAD","23009",2008,8,36
"548","ACAD","23009",2008,9,32.5
"549","ACAD","23009",2008,10,29
"550","ACAD","23009",2008,11,31
"551","ACAD","23009",2008,12,30
"552","ACAD","23009",2009,1,32
"553","ACAD","23009",2009,2,36
"554","ACAD","23009",2009,3,46
"555","ACAD","23009",2009,4,48
"556","ACAD","23009",2009,5,43
"557","ACAD","23009",2009,6,36.5
"558","ACAD","23009",2009,7,38
"559","ACAD","23009",2009,8,40
"560","ACAD","23009",2009,9,28
"561","ACAD","23009",2009,10,29
"562","ACAD","23009",2009,11,28
"563","ACAD","23009",2009,12,32
"564","ACAD","23009",2010,1,36
"565","ACAD","23009",2010,2,36
"566","ACAD","23009",2010,3,44
"567","ACAD","23009",2010,4,44
"568","ACAD","23009",2010,5,46
"569","ACAD","23009",2010,6,42
"570","ACAD","23009",2010,7,40
"571","ACAD","23009",2010,8,34
"572","ACAD","23009",2010,9,32
"573","ACAD","23009",2010,10,28
"574","ACAD","23009",2010,11,31.5
"575","ACAD","23009",2010,12,31
"576","ACAD","23009",2011,1,35
"577","ACAD","23009",2011,2,41
"578","ACAD","23009",2011,3,43
"579","ACAD","23009",2011,4,44
"580","ACAD","23009",2011,5,39
"581","ACAD","23009",2011,6,32.5
"582","ACAD","23009",2011,7,41
"583","ACAD","23009",2011,8,35
"584","ACAD","23009",2011,9,29.5
"585","ACAD","23009",2011,10,29
"586","ACAD","23009",2011,11,32
"587","ACAD","23009",2011,12,31
"588","ACAD","23009",2012,1,31
"589","ACAD","23009",2012,2,35
"590","ACAD","23009",2012,3,41
"591","ACAD","23009",2012,4,44
"592","ACAD","23009",2012,5,40
"593","ACAD","23009",2012,6,36
"594","ACAD","23009",2012,7,39
"595","ACAD","23009",2012,8,41
"596","ACAD","23009",2012,9,32.5
"597","ACAD","23009",2012,10,31
"598","ACAD","23009",2012,11,32
"599","ACAD","23009",2012,12,32
"600","ACAD","23009",2013,1,37
"601","ACAD","23009",2013,2,40
"602","ACAD","23009",2013,3,44
"603","ACAD","23009",2013,4,45
"604","ACAD","23009",2013,5,44
"605","ACAD","23009",2013,6,40.5
"606","ACAD","23009",2013,7,38
"607","ACAD","23009",2013,8,38
"608","ACAD","23009",2013,9,32.5
"609","ACAD","23009",2013,10,31
"610","ACAD","23009",2013,11,32
"611","ACAD","23009",2013,12,31
"612","ACAD","23009",2014,1,33
"613","ACAD","23009",2014,2,37
"614","ACAD","23009",2014,3,41
"615","ACAD","23009",2014,4,43.5
"616","ACAD","23009",2014,5,42
"617","ACAD","23009",2014,6,35
"618","ACAD","23009",2014,7,44
"619","ACAD","23009",2014,8,32
"620","ACAD","23009",2014,9,31
"621","ACAD","23009",2014,10,30
"622","ACAD","23009",2014,11,31.5
"623","ACAD","23009",2014,12,33
"624","ACAD","23009",2015,1,35
"625","ACAD","23009",2015,2,35.5
"626","ACAD","23009",2015,3,43
"627","ACAD","23009",2015,4,42.5
"628","ACAD","23009",2015,5,46
"629","ACAD","23009",2015,6,36.5
"630","ACAD","23009",2015,7,42
"631","ACAD","23009",2015,8,35
"632","ACAD","23009",2015,9,34
"633","ACAD","23009",2015,10,32
"634","ACAD","23009",2015,11,30
"635","ACAD","23009",2015,12,31
"636","ACAD","23009",2016,1,36
"637","ACAD","23009",2016,2,39
"638","ACAD","23009",2016,3,40
"639","ACAD","23009",2016,4,43
"640","ACAD","23009",2016,5,41
"641","ACAD","23009",2016,6,36.5
"642","ACAD","23009",2016,7,41
"643","ACAD","23009",2016,8,34
"644","ACAD","23009",2016,9,31
"645","ACAD","23009",2016,10,31
"646","ACAD","23009",2016,11,29.5
"647","ACAD","23009",2016,12,33
"648","ACAD","23009",2017,1,34
"649","ACAD","23009",2017,2,40
"650","ACAD","23009",2017,3,40
"651","ACAD","23009",2017,4,46
"652","ACAD","23009",2017,5,40
"653","ACAD","23009",2017,6,44
"654","ACAD","23009",2017,7,32
"655","ACAD","23009",2017,8,35
"656","ACAD","23009",2017,9,36.5
