"","X1","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM"
"173",1721,"BIBE",2006,"05","Big Bend NP",24876,3.35944938534283e-09,0.5120765452762,"Spring","BIBESpring","BIBE05"
"174",1731,"BIBE",2007,"03","Big Bend NP",80773,2.71496936044002e-09,0.326086455940922,"Spring","BIBESpring","BIBE03"
"175",1741,"BIBE",2008,"01","Big Bend NP",23357,1.98972194276337e-09,0.116787754985526,"Winter","BIBEWinter","BIBE01"
"176",1751,"BIBE",2008,"11","Big Bend NP",30998,2.01901317886666e-09,0.125240894585024,"Fall","BIBEFall","BIBE11"
"177",1761,"BIBE",2009,"09","Big Bend NP",21066,1.26140076162073e-09,-0.0933980014557584,"Fall","BIBEFall","BIBE09"
"178",1771,"BIBE",2010,"07","Big Bend NP",15643,3.51444673363233e-09,0.55680713356626,"Summer","BIBESummer","BIBE07"
"179",1781,"BIBE",2011,"05","Big Bend NP",39919,3.47185524773863e-09,0.544515683156317,"Spring","BIBESpring","BIBE05"
"180",1791,"BIBE",2012,"03","Big Bend NP",32590,2.62783061977245e-09,0.300939140996958,"Spring","BIBESpring","BIBE03"
"181",1801,"BIBE",2013,"01","Big Bend NP",22986,1.3386658448411e-09,-0.0711001191702347,"Winter","BIBEWinter","BIBE01"
"182",1811,"BIBE",2013,"11","Big Bend NP",22710,1.51986989660458e-09,-0.0188065546327048,"Fall","BIBEFall","BIBE11"
"183",1821,"BIBE",2014,"09","Big Bend NP",22475,1.08192166337062e-09,-0.145193762732281,"Fall","BIBEFall","BIBE09"
"184",1831,"BIBE",2015,"07","Big Bend NP",22887,8.44371239594466e-09,1.97934084363593,"Summer","BIBESummer","BIBE07"
"185",1841,"BIBE",2016,"05","Big Bend NP",40935,2.07595807211192e-09,0.141674585890617,"Spring","BIBESpring","BIBE05"
"186",1851,"BIBE",2017,"03","Big Bend NP",74735,2.45067321991144e-09,0.249813397213784,"Spring","BIBESpring","BIBE03"
"187",1861,"BIBE",2018,"01","Big Bend NP",33434,2.10421835511454e-09,0.149830203376342,"Winter","BIBEWinter","BIBE01"
"188",1871,"BIBE",2018,"11","Big Bend NP",46998,1.0894092294933e-09,-0.14303293068435,"Fall","BIBEFall","BIBE11"
"189",1881,"BISC",1980,"09","Biscayne NP",17871,7.29553306655362e-10,-0.246883527522554,"Fall","BISCFall","BISC09"
"190",1891,"BISC",1981,"07","Biscayne NP",33116,3.34147376435112e-09,0.506888972000194,"Summer","BISCSummer","BISC07"
"191",1901,"BISC",1982,"05","Biscayne NP",28506,1.04637420950127e-09,-0.155452380323724,"Spring","BISCSpring","BISC05"
"192",1911,"BISC",1983,"03","Biscayne NP",25847,4.33566099689031e-10,-0.33230229139203,"Spring","BISCSpring","BISC03"
"193",1921,"BISC",1984,"01","Biscayne NP",24320,1.10424488997118e-10,-0.425557527734844,"Winter","BISCWinter","BISC01"
"194",1931,"BISC",1984,"11","Biscayne NP",17771,3.72146979898957e-10,-0.350027196951939,"Fall","BISCFall","BISC11"
"195",1941,"BISC",1985,"09","Biscayne NP",28401,5.19455867209473e-10,-0.307515416831376,"Fall","BISCFall","BISC09"
"196",1951,"BISC",1986,"07","Biscayne NP",62417,5.90708548742214e-09,1.2472972626149,"Summer","BISCSummer","BISC07"
"197",1961,"BISC",1987,"05","Biscayne NP",55346,7.57416185326321e-10,-0.238842596705604,"Spring","BISCSpring","BISC05"
"198",1971,"BISC",1988,"03","Biscayne NP",41007,5.89895243763294e-10,-0.287187360985204,"Spring","BISCSpring","BISC03"
"199",1981,"BISC",1989,"01","Biscayne NP",58478,2.12772272023543e-10,-0.396021044720924,"Winter","BISCWinter","BISC01"
"200",1991,"BISC",1989,"11","Biscayne NP",36633,3.7808953190499e-10,-0.348312239566489,"Fall","BISCFall","BISC11"
"201",2001,"BISC",1990,"09","Biscayne NP",49400,3.17453036080551e-10,-0.365811288163172,"Fall","BISCFall","BISC09"
"202",2011,"BISC",1991,"07","Biscayne NP",41968,7.80427611424273e-10,-0.232201743567703,"Summer","BISCSummer","BISC07"
"203",2021,"BISC",1992,"05","Biscayne NP",61321,3.76481512631699e-10,-0.348776296847919,"Spring","BISCSpring","BISC05"
"204",2031,"BISC",1993,"03","Biscayne NP",2861,5.14145337415783e-10,-0.309047979319864,"Spring","BISCSpring","BISC03"
"205",2041,"BISC",1994,"01","Biscayne NP",2312,1.34292008069359e-10,-0.418669615258229,"Winter","BISCWinter","BISC01"
"206",2051,"BISC",1994,"11","Biscayne NP",1336,1.34740149593249e-10,-0.418540286374722,"Fall","BISCFall","BISC11"
"207",2061,"BISC",1995,"09","Biscayne NP",47644,9.42903199963041e-10,-0.185313014577717,"Fall","BISCFall","BISC09"
"208",2071,"BISC",1996,"07","Biscayne NP",46604,4.71019268033501e-09,0.901886712228246,"Summer","BISCSummer","BISC07"
