"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM","SeasType","Region","State"
"164","ACAD","1993","08","Acadia NP",719671,2.28381938360833e-10,-0.783032521652671,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"165","ACAD","1993","09","Acadia NP",417317,2.71438482801756e-10,-0.758181198919299,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"166","ACAD","1993","10","Acadia NP",254615,3.67537750234348e-10,-0.70271474334517,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"167","ACAD","1993","11","Acadia NP",43755,5.61977353541465e-10,-0.590488335102773,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"168","ACAD","1993","12","Acadia NP",19052,3.84108245210513e-10,-0.693150605678029,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"169","ACAD","1994","01","Acadia NP",13364,2.5959667748765e-10,-0.765016037372496,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"170","ACAD","1994","02","Acadia NP",18112,4.5050063679497e-10,-0.654830327733532,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"171","ACAD","1994","03","Acadia NP",29086,6.42399189398901e-10,-0.544070559973475,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"172","ACAD","1994","04","Acadia NP",58788,5.80593351173775e-10,-0.579743576758336,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"173","ACAD","1994","05","Acadia NP",182781,6.79399758674037e-10,-0.522714617449185,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"174","ACAD","1994","06","Acadia NP",311803,6.85185019833057e-10,-0.519375487613605,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"175","ACAD","1994","07","Acadia NP",617622,2.50770654242061e-10,-0.770110230484749,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"176","ACAD","1994","08","Acadia NP",720079,5.17692166912553e-10,-0.616048804005072,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"177","ACAD","1994","09","Acadia NP",421106,3.12982084693658e-10,-0.734203114483403,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"178","ACAD","1994","10","Acadia NP",268779,4.5307926854754e-10,-0.653341996267881,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"179","ACAD","1994","11","Acadia NP",48907,4.13372308605275e-10,-0.676260009989122,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"180","ACAD","1994","12","Acadia NP",20322,2.68888328269767e-10,-0.759653093938218,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"181","ACAD","1995","01","Acadia NP",14894,1.82955595118273e-10,-0.809251641908983,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"182","ACAD","1995","02","Acadia NP",20510,3.06444813968909e-10,-0.737976288264199,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"183","ACAD","1995","03","Acadia NP",32120,3.68872182798796e-10,-0.701944537218422,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"184","ACAD","1995","04","Acadia NP",86198,8.87559137296989e-10,-0.402569446365264,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
